region_code,geo_name,csv_name
1,Алтайский край, Hенецкий автономный округ
2,Амурская область,Hижегородская область
3,Архангельская область,Алтайский край
4,Астраханская область,Амурская область
5,Белгородская область,Астраханская область
6,Брянская область,Белгородская область
7,Владимирская область,Брянская область
8,Волгоградская область,Владимирская область
9,Вологодская область,Волгоградская область
10,Воронежская область,Вологодская область
11,Еврейская автономная область,Воронежская область
12,Забайкальский край,Еврейская автономная область
13,Ивановская область,Забайкальский край
14,Иркутская область,Ивановская область
15,Кабардино-Балкарская Республика,Иркутская область
16,Калининградская область,Кабардино-Балкарская Республика
17,Калужская область,Калининградская область
18,Камчатский край,Калужская область
19,Карачаево-Черкесская Республика,Камчатский край
20,Кемеровская область,Карачаево-Черкесская Республика
21,Кировская область,Кемеровская область - Кузбасс
22,Костромская область,Кировская область
23,Краснодарский край,Костромская область
24,Красноярский край,Краснодарский край
25,Курганская область,Красноярский край
26,Курская область,Курганская область
27,Ленинградская область,Курская область
28,Липецкая область,Ленинградская область
29,Магаданская область,Липецкая область
30,Москва,Магаданская область
31,Московская область,Москва
32,Мурманская область,Московская область
33,Ненецкий автономный округ,Мурманская область
34,Нижегородская область,Новгородская область
35,Новгородская область,Новосибирская область
36,Новосибирская область,Омская область
37,Омская область,Оренбургская область
38,Оренбургская область,Орловская область
39,Орловская область,Пензенская область
40,Пензенская область,Пермский край
41,Пермский край,Приморский край
42,Приморский край,Псковская область
43,Псковская область,Республика Адыгея
44,Республика Адыгея (Адыгея),Республика Алтай
45,Республика Алтай,Республика Башкортостан
46,Республика Башкортостан,Республика Бурятия
47,Республика Бурятия,Республика Дагестан
48,Республика Дагестан,Республика Ингушетия
49,Республика Ингушетия,Республика Калмыкия
50,Республика Калмыкия,Республика Карелия
51,Республика Карелия,Республика Коми
52,Республика Коми,Республика Крым
53,Республика Крым,Республика Марий Эл
54,Республика Марий Эл,Республика Мордовия
55,Республика Мордовия,Республика Саха (Якутия)
56,Республика Саха (Якутия),Республика Северная Осетия- Алания
57,Республика Северная Осетия-Алания,Республика Татарстан
58,Республика Татарстан,Республика Тыва
59,Республика Тыва,Республика Хакасия
60,Республика Хакасия,Ростовская область
61,Ростовская область,Рязанская область
62,Рязанская область,Самарская область
63,Самарская область,Санкт-Петербург
64,Санкт-Петербург,Саратовская область
65,Саратовская область,Сахалинская область
66,Сахалинская область,Свердловская область
67,Свердловская область,Севастополь
68,Севастополь,Смоленская область
69,Смоленская область,Ставропольский край
70,Ставропольский край,Тамбовская область
71,Тамбовская область,Тверская область
72,Тверская область,Томская область
73,Томская область,Тульская область
74,Тульская область,Тюменская область
75,Тюменская область,Тюменская область без автономных округов
76,Удмуртская Республика,Удмуртская Республика
77,Ульяновская область,Ульяновская область
78,Хабаровский край,Хабаровский край
79,Ханты-Мансийский автономный округ,Челябинская область
80,Челябинская область,Чеченская Республика
81,Чеченская Республика,Чувашская Республика
82,Чувашская Республика - Чувашия,Чукотский автономный округ
83,Чукотский автономный округ,Ямало-Hенецкий автономный округ
84,Ямало-Ненецкий автономный округ,Ярославская область
85,Ярославская область,
